Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Soil Microbiome Is More Heterogeneous in Organic Than in Conventional Farming System,,10.3389/fmicb.2016.02064,True,10.3389%2Ffmicb.2016.02064.pdf,2017,,Frontiers in Microbiology,True,SciDB,"Lupatini, Manoeli and Korthals, Gerard W. and de Hollander, Mattias and Janssens, Thierry K. S. and Kuramae, Eiko E."
Metagenomics Reveals Pervasive Bacterial Populations and Reduced Community Diversity across the Alaska Tundra Ecosystem,,10.3389/fmicb.2016.00579,True,10.3389%2Ffmicb.2016.00579.pdf,2016,,Frontiers in Microbiology,True,SciDB,"Johnston, Eric R. and Rodriguez-R, Luis M. and Luo, Chengwei and Yuan, Mengting M. and Wu, Liyou and He, Zhili and Schuur, Edward A. G. and Luo, Yiqi and Tiedje, James M. and Zhou, Jizhong and Konstantinidis, Konstantinos T."
Acidification Enhances Hybrid N2O Production Associated with Aquatic Ammonia-Oxidizing Microorganisms,,10.3389/fmicb.2016.02104,True,10.3389%2Ffmicb.2016.02104.pdf,2017,,Frontiers in Microbiology,True,SciDB,"Frame, Caitlin H. and Lau, Evan and Nolan, E. Joseph and Goepfert, Tyler J. and Lehmann, Moritz F."
Diversity of herbaceous plants and bacterial communities regulates soil resistome across forest biomes,,10.1111/1462-2920.14248,True,10.1111%2F1462-2920.14248.pdf,2018,,Environmental Microbiology,True,SciDB,"Hu, Hang‐Wei and Wang, Jun‐Tao and Singh, Brajesh K. and Liu, Yu‐Rong and Chen, Yong‐Liang and Zhang, Yu‐Jing and He, Ji‐Zheng"
Grapevine (Vitis vinifera) Crown Galls Host Distinct Microbiota,,10.1128/AEM.01131-16,True,10.1128%2FAEM.01131-16.pdf,2016,,Applied and Environmental Microbiology,True,SciHub,"Faist, Hanna and Keller, Alexander and Hentschel, Ute and Deeken, Rosalia"
Lettuce and rhizosphere microbiome responses to growth promoting<i>Pseudomonas</i>species under field conditions,,10.1093/femsec/fiw197,True,10.1093%2Ffemsec%2Ffiw197.pdf,2016,,FEMS Microbiology Ecology,True,SciDB,"Cipriano, Matheus A. P. and Lupatini, Manoeli and Lopes-Santos, Lucilene and da Silva, Márcio J. and Roesch, Luiz F. W. and Destéfano, Suzete A. L. and Freitas, Sueli S. and Kuramae, Eiko E."
Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome,,10.1186/s40168-016-0171-4,True,10.1186%2Fs40168-016-0171-4.pdf,2016,,Microbiome,True,SciDB,"Giloteaux, Ludovic and Goodrich, Julia K. and Walters, William A. and Levine, Susan M. and Ley, Ruth E. and Hanson, Maureen R."
"Associations among Wine Grape Microbiome, Metabolome, and Fermentation Behavior Suggest Microbial Contribution to Regional Wine Characteristics",,10.1128/mBio.00631-16,True,10.1128%2FmBio.00631-16.pdf,2016,,mBio,True,SciHub,"Bokulich, Nicholas A. and Collins, Thomas S. and Masarweh, Chad and Allen, Greg and Heymann, Hildegarde and Ebeler, Susan E. and Mills, David A."
"Preservation and Significance of Extracellular DNA in Ferruginous Sediments from Lake Towuti, Indonesia",,10.3389/fmicb.2017.01440,True,10.3389%2Ffmicb.2017.01440.pdf,2017,,Frontiers in Microbiology,True,SciDB,"Vuillemin, Aur√®le and Horn, Fabian and Alawi, Mashal and Henny, Cynthia and Wagner, Dirk and Crowe, Sean A. and Kallmeyer, Jens"
Sympatric kelp species share a large portion of their surface bacterial communities,,10.1111/1462-2920.13993,True,10.1111%2F1462-2920.13993.pdf,2017,,Environmental Microbiology,True,SciDB,"Lemay, Matthew A. and Martone, Patrick T. and Keeling, Patrick J. and Burt, Jenn M. and Krumhansl, Kira A. and Sanders, Rhea D. and Wegener Parfrey, Laura"
Bacterial biogeography of adult airways in atopic asthma,,10.1186/s40168-018-0487-3,True,10.1186%2Fs40168-018-0487-3.pdf,2018,,Microbiome,True,SciDB,"Durack, Juliana and Huang, Yvonne J. and Nariya, Snehal and Christian, Laura S. and Ansel, K. Mark and Beigelman, Avraham and Castro, Mario and Dyer, Anne-Marie and Israel, Elliot and Kraft, Monica and Martin, Richard J. and Mauger, David T. and Rosenberg, Sharon R. and King, Tonya S. and White, Steven R. and Denlinger, Loren C. and Holguin, Fernando and Lazarus, Stephen C. and Lugogo, Njira and Peters, Stephen P. and Smith, Lewis J. and Wechsler, Michael E. and Lynch, Susan V. and Boushey, Homer A."
Redundancy in Anaerobic Digestion Microbiomes during Disturbances by the Antibiotic Monensin,,10.1128/AEM.02692-17,True,10.1128%2FAEM.02692-17.pdf,2018,,Applied and Environmental Microbiology,True,SciHub,"Spirito, Catherine M. and Daly, Sarah E. and Werner, Jeffrey J. and Angenent, Largus T."
Composition and diversity of mucosa‐associated microbiota along the entire length of the pig gastrointestinal tract; dietary influences,,10.1111/1462-2920.13619,True,10.1111%2F1462-2920.13619.pdf,2017,,Environmental Microbiology,True,SciDB,"Kelly, Jennifer and Daly, Kristian and Moran, Andrew W. and Ryan, Sheila and Bravo, David and Shirazi‐Beechey, Soraya P."
